"Member States:Spain",
"Type ID""Authorisation document reference (EIN)""Type Name""Authorisation Status""Last Update"
"13-395-0003-3-001-001""ES8020260162""Serie 453 Remolque Doble piso_3""Valid (Spain)""16/07/2026"
"13-395-0004-1-001-001""ES8020260162""Serie 453 Motor Intermedio_4""Valid (Spain)""16/07/2026"
"13-395-0002-5-001-001""ES8020260162""Serie 453 Motor Cabina PMR_2""Valid (Spain)""16/07/2026"
"13-017-0006-6-001-001""ES8020230164""V300ZEFIRO ES 25/3 US""Valid (Spain)""15/07/2026"
"72-081-0001-1-001-001""ES8020260242""Vagón auxiliar Faccs 1435/1668 AZVI""Valid (Spain)""15/07/2026"
"11-075-0014-0-001-001""EU8020260237""Eurodual E25/3/1.5 ES-FR-LU Univ Bogie""Valid (European Union)""13/07/2026"
"11-075-0014-0-001-002""EU8020260238""new version of Eurodual E25/3/1.5 ES-FR-LU-BE Univ Bogie""Valid (European Union)""13/07/2026"
"77-011-0001-3-001-001""ES8020260223""Excavadora bimodal 1000/1435/1668 UROMAC""Valid (Spain)""08/07/2026"
"72-094-0001-4-001-001""ES8020260219""Plataforma auxiliar AMT 3965RR""Valid (Spain)""25/06/2026"
"51-405-0004-1-001-001""ES8020260150""Vagon FACCS 1435/1668 AZVI""Valid (Spain)""25/06/2026"
"11-208-0001-4-001-001""ES8020230095""S/308 ATHOS""Valid (Spain)""24/06/2026"
"11-075-0001-7-008-007""Parent type authorisation: New authorisation: EU8020210238 / Extended area of use: EU8020210239 Extension to access to 1.5 kV in FR: EU8020220072 and extension of area of use to LU: EU8020250243""Eurodual E25/3/1.5 ES-FR-LU Universal Bogie""Valid (European Union)""04/06/2026"
"11-150-0006-7-001-001""ES8020260186""S/269.0 RAXELL""Valid (Spain)""28/05/2026"
"13-385-0001-8-001-001""ES8020260188""Serie 402""Valid (Spain)""27/05/2026"
"72-088-0001-6-001-001""ES8020260179""PDB-80 EMR PLASSER""Valid (Spain)""21/05/2026"
"72-048-0001-0-001-001""ES8020260169""CP 34 VEFCA""Valid (Spain)""07/05/2026"
"13-395-0001-7-001-001""ES8020260162""Serie 453 Motor Cabina_1""Valid (Spain)""07/05/2026"
"74-005-0001-8-001-001""ES8020250357""Auscultador FLIRT ES""Valid (Spain)""04/05/2026"
"77-013-0001-9-001-001""ES8020260119""VAIA CAR RF8S ACYGS""Valid (Spain)""31/03/2026"
