codigo_linea,numero_rfig,nombre,wiki_linea,wiki_ancho,wiki_longitud,wiki_historica,uso_dominante,n_tramos,n_solo_carga,n_mixto,n_viajeros,n_sin_clasificar,n_aptos_mercancias,apto_mercancias,longitud_km,km_mercancias
01124,124,SALAMANCA-VALDUNCIEL,Salamanca a Valdunciel,Ibérico,"12,4 km",False,,1,0,0,0,1,0,False,12.401,0.0
01126,126,ARANDA DUERO-MON-ARANDA DUERO-CHE,Aranda de Duero-Montecillo a Aranda de Duero-Chelva,Ibérico,"1,8 km",True,,1,0,0,0,1,0,False,1.937,0.0
01128,128,"BURGOS AG. KM. 374,2 - CAMB. BURGOS","Burgos-Aguja kilómetro 374,2 a Cambiador de Burgos",Ibérico,"0,1 km",False,viajeros,1,0,0,1,0,0,False,0.167,0.0
01156,156,CAMBIADOR VILLAMURIEL - BIF. VILLAMURIEL DE CERRATO,Bifurcación Villamuriel de Cerrato a Cambiador Villamuriel,Ibérico,"1,3 km",False,viajeros,1,0,0,1,0,0,False,0.295,0.0
01164,164,BIF. MAGAZ-MAGAZ,Palencia-Arroyo Villalobón a Magaz,Ibérico,"7,5 km",False,mixto,3,0,3,0,0,3,True,16.116,16.116
01166,166,BIF. RUBENA-VILLAFRIA,Bifurcación Rubena a Villafría,Ibérico,"3,7 km",False,mercancias,1,1,0,0,0,1,True,3.748,3.748
01168,168,"BIF RUBENA AG KM 377,3-VILLAFRIA","Villafría a Bifurcación Rubena-aguja km 377,3",Ibérico,"3,5 km",False,mercancias,1,1,0,0,0,1,True,3.598,3.598
01172,172,MADRID-CHAMARTÍN-CAMBIADOR MADRID-CHAMARTÍN,Cambiador Madrid-Chamartín a Madrid-Chamartín-Clara Campoamor,Ibérico,"0,7 km",False,mercancias,1,1,0,0,0,1,True,0.619,0.619
01174,174,CAMBIADOR MEDINA DEL CAMPO-MEDINA DEL CAMPO,Medina del Campo a Cambiador Medina del Campo,Ibérico,"2,1 km",False,mercancias,1,1,0,0,0,1,True,2.107,2.107
01176,176,CAMBIADOR VALDESTILLAS-VALDESTILLAS,Valdestillas a Cambiador Valdestillas,Ibérico,"0,8 km",True,mercancias,1,1,0,0,0,1,True,0.894,0.894
01178,178,"CAMBIADOR VALLADOLID C.-GRANDE-VALLADOLID-AG. KM 250,2","Valladolid aguja km 250,2 a Cambiador Valladolid-Campo Grande",Ibérico,"0,6 km",True,viajeros,1,0,0,1,0,0,False,0.718,0.0
01188,188,CAMB. MEDINA DEL CAMPO AV - BIF. ARROYO DE LA GOLOSA,Cambiador de Medina AV a Bifurcación Arroyo de La Golosa,Ibérico,"3,0 km",False,viajeros,1,0,0,1,0,0,False,3.381,0.0
01192,192,"RIO PISUERGA-C.FERR.AG.KM.3,7",Río Pisuerga a Complejo Ferroviario de Mercancías de Valladolid-aguja,Ibérico,"13,7 km",False,mercancias,2,1,0,0,1,1,True,13.747,9.484
01700,700,INT. ABANDO IND. PRIETO-CASETAS,Intermodal Abando Indalecio Prieto a Casetas,Ibérico,"233,8 km",False,mixto,18,0,18,0,0,18,True,327.057,327.057
01704,704,BIF. RIOJA-BIF. CASTILLA,Bifurcación Rioja a Bifurcación Castilla,Ibérico,"1,6 km",False,mixto,1,0,1,0,0,1,True,0.594,0.594
01710,710,ALTSASU-CASTEJON DE EBRO,Altsasu a Castejón de Ebro,Ibérico,"139,2 km",False,mixto,7,0,7,0,0,7,True,139.263,139.263
01712,712,"BIF. KM.534,0-BIF. KM.231,5","Bifurcación km 534,0 a Bifurcación km 231,5 (Altsasu-Pueblo)",Ibérico,"2,5 km",False,mixto,1,0,1,0,0,1,True,1.996,1.996
01720,720,INT. ABANDO IND. PRIETO-SANTURTZI,Santurtzi a Intermodal Abando Indalecio Prieto,Ibérico,"13,6 km",False,mercancias,7,4,3,0,0,7,True,13.447,13.447
01722,722,DESERTU-BARAKALD-MUSKIZ,Muskiz a Desertu-Barakaldo,Ibérico,"13,0 km",False,mercancias,1,1,0,0,0,1,True,12.895,12.895
01724,724,BILBAO MERCANCIAS-SANTURTZI,Bilbao-Mercancías a Santurtzi,Ibérico,"3,3 km",False,mercancias,1,1,0,0,0,1,True,3.105,3.105
01726,726,AGUJA ENLACE-BIF. LA CASILLA,Bifurcación La Casilla a Aguja de enlace,Ibérico,"2,8 km",False,mixto,2,0,2,0,0,2,True,2.352,2.352
01904,904,"FUENCARRAL-AGUJA KM 4,5 - BIF. FUENCARRAL","Bifurcación Fuencarral a Fuencarral-aguja km 4,5",Ibérico,"1,7 km",False,mercancias,2,1,1,0,0,2,True,1.427,1.427
01910,910,MADRID ATOCHA CERCANIAS-PINAR DE LAS ROZAS,Madrid-Atocha Cercanías a Pinar de Las Rozas,Ibérico,"28,0 km",False,mixto,10,0,10,0,0,10,True,32.26,32.26
01912,912,PINAR DE LAS ROZAS-LAS MATAS,Las Matas a Pinar de Las Rozas,Ibérico,"3,6 km",False,mixto,2,0,2,0,0,2,True,3.597,3.597
01914,914,BIF. CHAMARTIN-BIF. P. PIO,"Bifurcación Chamartín-aguja km 18,6 a Bifurcación Príncipe Pío",Ibérico,"0,7 km",False,mixto,2,0,2,0,0,2,True,1.486,1.486
01924,924,BIF. CHAMARTIN - BIF. P. PIO,Bifurcación Chamartín a Bifurcación Príncipe Pío,Ibérico,"1,3 km",False,mixto,1,0,1,0,0,1,True,1.343,1.343
01999,999,LINEA FUERA DE SERVICIO EJE 1,,,,,,119,0,0,0,119,0,False,4279.1,0.0
02200,200,MADRID-CHAMARTIN-BARNA-EST. DE FRANÇA,Madrid-Chamartín-Clara Campoamor a Barcelona-Estació de França,Ibérico,"699,7 km",False,mixto,65,0,64,1,0,64,True,723.947,722.402
02202,202,TORRALBA-CASTEJON DE EBRO,Torralba a Soria,Ibérico,"103,6 km",False,mixto,4,0,2,0,2,2,True,196.345,92.947
02204,204,BIF. CANFRANC-CANFRANC,Bifurcación Canfranc a Canfranc,Ibérico,"138,5 km",False,mercancias,5,2,3,0,0,5,True,138.568,138.568
02206,206,LLEIDA-PIRINEUS-POBLA SEGUR,Lérida-Pirineos a Puebla de Segur,Ibérico,"1,9 km",False,mixto,7,0,3,3,1,3,True,93.094,28.155
02208,208,S.JUAN MOZARRIFA-S. GREGORIO,San Juan de Mozarrifar a San Gregorio,Ibérico,"3,5 km",False,mercancias,1,1,0,0,0,1,True,3.436,3.436
02210,210,MIRAFLORES-TARRAGONA,Miraflores a Sant Vicente de Calders,Ibérico,"275,9 km",False,mixto,17,0,17,0,0,17,True,290.319,290.319
02212,212,"HOYA DE HUESCA-AG. KM. 2,3-BIF. HOYA HUESCA","Hoya de Huesca-aguja km 2,3 a Bifurcación Hoya de Huesca",Ibérico,"1,7 km",False,mixto,1,0,1,0,0,1,True,1.764,1.764
02214,214,CIM ZARAGOZA-LA CARTUJA,CIM de Zaragoza a La Cartuja,Ibérico,"25,5 km",False,mixto,6,0,6,0,0,6,True,25.319,25.319
02216,216,"BIF. PLAZA-AG. KM. 1,4-BIF. PLAZA-AG. KM. 8,7","Bifurcación Plaza-aguja km 1,4 a Bifurcación Plaza-aguja km 8,7",Ibérico,"2,0 km",False,mixto,2,0,1,0,1,1,True,5.635,2.313
02218,218,BIF. PLAZA-ZARAGOZA-PLAZA,Bifurcación Plaza a Zaragoza-Plaza,Ibérico,"4,5 km",False,mixto,2,0,2,0,0,2,True,4.386,4.386
02220,220,LLEIDA-PIRINEUS-L HOSPITALET DE LLOBREGAT,Lérida Pirineos a Bifurcación Vilanova,Ibérico,"181,7 km",False,mercancias,13,7,6,0,0,13,True,247.422,247.422
02222,222,MONTCADA-BIFURCA-LA TOUR DE CAROL,Torre de Querol-Enveitg a Bifurcación Aguas,Ibérico,"149,7 km",False,mixto,13,0,10,3,0,10,True,154.875,147.309
02224,224,CERDANYOLA UNIV.-CERDANYOLA VALLE,Cerdanyola Universidad a Cerdanyola del Vallés,Ibérico,"3,6 km",False,mixto,1,0,1,0,0,1,True,3.598,3.598
02230,230,PLANA-PICAMOIXON-REUS,Plana-Picamoixons a Reus,Ibérico,"20,8 km",False,mixto,1,0,1,0,0,1,True,21.039,21.039
02234,234,REUS-RODA DE BARA,Reus a Constantí,Ibérico,"31,2 km",False,mercancias,2,1,0,0,1,1,True,31.345,6.12
02238,238,CASTELLBISBAL-AGUJAS LLOBREGAT -BARCELONA-MORROT,Castellbisbal-Agujas Llobregat a Barcelona-Morrot,Mixto,"22,4 km",False,mercancias,5,1,4,0,0,5,True,27.213,27.213
02240,240,S.VICENÇ CALDERS-L HOSPITALET DE LLOBREGAT,San Vicente de Calders a Hospitalet de Llobregat,Ibérico,"71,0 km",False,mixto,16,0,15,1,0,15,True,76.413,75.656
02242,242,MARTORELL-SEAT-AGUJA KM. 71.185,"Martorell-Seat a Aguja km 71,185",Ibérico,"2,5 km",False,mercancias,2,2,0,0,0,2,True,2.522,2.522
02244,244,AGUJA KM. 0.500-AGUJA KM. 70.477,"Aguja km 70,477 a Aguja km 0,500",Ibérico,"0,5 km",False,mercancias,1,1,0,0,0,1,True,0.51,0.51
02246,246,CASTELLBISBAL AGUJAS RUBI-MOLLET-SANT FOST,Mollet-San Fausto a Castellbisbal-Agujas Rubí,Mixto,"27,3 km",False,mercancias,11,2,9,0,0,11,True,57.299,57.299
02248,248,BIF. RUBI-BIF. PAPIOL,"Bifurcación Rubí a Aguja km 4,014",Ibérico,"1,9 km",True,mixto,2,0,1,1,0,1,True,2.404,0.998
02250,250,"L HOSPITALET DE LLOBREGAT-BELLVITGE-AG. KM. 674,8","Bellvitge-aguja km 674,8 a Hospitalet",Ibérico,"1,7 km",False,mixto,1,0,1,0,0,1,True,1.563,1.563
02254,254,EL PRAT DE LLOBREGAT-AEROPORT,Aeropuerto a Prat de Llobregat,Ibérico,"6,7 km",False,viajeros,1,0,0,1,0,0,False,6.58,0.0
02260,260,VILAMALLA - FIGUERES VILAFANT,Figueras-Vilafant a Vilamalla,Mixto,"6,4 km",False,mercancias,4,1,1,2,0,2,True,14.043,10.199
02262,262,BIF CLOT-BARNA-SAGRERA,Bifurcación Glorias a Bifurcación Clot,Ibérico,"0,5 km",True,mixto,4,0,3,1,0,3,True,3.861,1.938
02264,264,MONTCADA-BIFURCA-BIF. AIGÜES,,,,,mixto,1,0,1,0,0,1,True,2.19,2.19
02266,266,BIF.VILANOVA-BIF.GLORIAS,,,,,mixto,1,0,1,0,0,1,True,0.748,0.748
02268,268,BIF. SAGRERA-BIF. ARAGO,,,,,mixto,5,0,4,1,0,4,True,6.653,4.165
02270,270,BIF. SAGRERA-CERBERE,Cerbère a Bifurcación Aragó<nowiki/>n,"Ibérico, mixto","162,1 km",False,mercancias,29,1,28,0,0,29,True,189.688,189.688
02272,272,BIF. GIRONA-GIRONA-MERCADERI,Bifurcación Gerona Mercancías a Gerona Mercancías,Ibérico,"1,8 km",False,mercancias,1,1,0,0,0,1,True,1.845,1.845
02274,274,PORTBOU-CERBERE,Cerbère a Port-Bou,Ibérico,"2,2 km",False,mercancias,4,4,0,0,0,4,True,3.927,3.927
02276,276,BARNA-SAGRERA-MAÇANET-MASSANES,Massanet-Massanas a Hospitalet de Llobregat,Ibérico,"85,1 km",False,mercancias,20,2,14,4,0,16,True,163.933,130.769
02278,278,BIF S. ANDREU - BARNA-S.A.COMTAL,La Llagosta a Bifurcación nudo de Mollet,Mixto,"2,3 km",False,mixto,2,0,1,0,1,1,True,3.439,2.33
02282,282,"CAMBIADOR PLASENCIA AG.KM. 308,6-CAMBIADOR PLASENCIA","Cambiador Plasencia de Jalón a Cambiador Plasencia-aguja km 308,6",Ibérico,"1,4 km",False,viajeros,1,0,0,1,0,0,False,1.389,0.0
02284,284,"CIM AGUJA KM. 337,1-CIM AGUJA KM. 0,7","CIM-aguja km 337,1 a CIM-aguja km 0,7",Ibérico,"0,6 km",False,mixto,1,0,1,0,0,1,True,0.68,0.68
02286,286,"LA CARTUJA-AG. KM. 23,3-LA CARTUJA-AG. KM. 351,1","La Cartuja-aguja km 23,3 a La Cartuja-aguja km 351,1",Ibérico,"1,1 km",False,mixto,1,0,1,0,0,1,True,1.16,1.16
02288,288,"MIRAFLORES-AG. KM. 345,6-MIRAFLORES-AG. KM. 0,9","Miraflores-aguja km 345,6 a Miraflores-aguja km 0,9",Ibérico,"0,9 km",False,mixto,1,0,1,0,0,1,True,0.876,0.876
02290,290,"CIM-AGJ KM. 337,1-CAMB. ZARAGOZA-DELICIAS","CIM-aguja km 337,1 a Cambiador Zaragoza-Delicias",Ibérico,"0,3 km",False,viajeros,1,0,0,1,0,0,False,0.225,0.0
02294,294,RODA CAMB. DE ANCHO-RODA DE BARA,Roda de Bará-Cambiador de Ancho a Roda de Bará,Ibérico,"0,2 km",True,viajeros,1,0,0,1,0,0,False,0.214,0.0
02610,610,BIF. TERUEL-SAGUNT,Sagunt a Bifurcación Teruel,Ibérico,"314,5 km",False,mixto,15,0,15,0,0,15,True,313.712,313.712
02612,612,"SAGUNT-AG. KM. 268,8-SAGUNT-AG. KM. 28,3","Sagunt-aguja km 28,3 a Sagunt-aguja km 268,8",Ibérico,"0,6 km",False,mixto,1,0,1,0,0,1,True,0.629,0.629
02622,622,"AGUJA CLASIF. KM. 272,0 - TARRAGONA-MERCADERIES","Aguja-Clasificación km 272,0 a Tarragona-Classificació",Ibérico,"1,1 km",False,mercancias,2,2,0,0,0,2,True,2.502,2.502
02624,624,AG.CLAS.KM 100.4-TARRAGONA,"Aguja-Clasificación km 100,4 a Tarragona",Ibérico,"3,1 km",False,mixto,2,0,2,0,0,2,True,3.105,3.105
02630,630,PORT AVENTURA - TARRAGONA,Salou-Port Aventura a Tarragona,Ibérico,10 km,False,mixto,3,0,3,0,0,3,True,10.062,10.062
02702,702,GRISEN-CABAÑAS DE EBRO,Cabañas de Ebro a Grisén,Ibérico,"6,0 km",False,mixto,1,0,1,0,0,1,True,5.982,5.982
02902,902,PITIS-BIF.HORTALEZA,Pitis a Hortaleza,Ibérico,"8,3 km",False,mixto,5,0,5,0,0,5,True,17.723,17.723
02906,906,MADRID CHAMARTIN-FUENCARRAL-COMPLEJO,Fuencarral-Complejo a Madrid-Chamartín-Clara Campoamor,Ibérico,"1,3 km",False,viajeros,1,0,0,1,0,0,False,1.308,0.0
02908,908,HORTALEZA - BARAJAS -T4,Hortaleza a Aeropuerto T-4,Mixto,"5,3 km",False,mercancias,1,1,0,0,0,1,True,5.827,5.827
02930,930,MADRID AT. CERCA-SAN FERNANDO DE HENARES,Madrid-Atocha Cercanías a San Fernando de Henares,Ibérico,"18,3 km",False,mixto,7,0,7,0,0,7,True,21.415,21.415
02932,932,MADRID AT. CERCA-MADRID-S. CATAL.,Madrid-Atocha Cercanías a Madrid-Santa Catalina,Ibérico,"5,4 km",False,mixto,4,0,4,0,0,4,True,6.618,6.618
02938,938,MADRID AT. CERCA-ASAMBLEA MADRID-ENTREVIAS,Cambiador Atocha a Aguja conexión con línea 932,Ibérico,"3,8 km",True,mixto,4,0,2,2,0,2,True,3.644,1.642
02940,940,"O,DONNELL-VICALVARO-CLASIF",O'Donnell a Vicálvaro-Clasificación,Ibérico,"4,0 km",False,mixto,3,0,3,0,0,3,True,7.891,7.891
02942,942,VALLECAS-IND.-VILLAVERDE BAJO,Villaverde Bajo a Vallecas-Industrial,Ibérico,"7,2 km",False,mixto,2,0,2,0,0,2,True,7.366,7.366
02944,944,VICALVARO-BIF CLASIF-VICAL,Vicálvaro a Bifurcación Vicálvaro-Clasificación,Ibérico,"5,0 km",False,mixto,2,0,2,0,0,2,True,5.183,5.183
02948,948,VICALVARO-CLASIFICACION-BIF. VIACLVAO-CLASIFICACION,Vicálvaro-Clasificación a Bifurcación Vicálvaro-Clasificación,Ibérico,"2,9 km",False,mercancias,3,1,2,0,0,3,True,4.029,4.029
03300,300,MADRID CHAMARTÍN-VALENCIA-NORD,Madrid-Chamartín-Clara Campoamor a Valencia-Estación del Norte,Ibérico,"480,6 km",False,mixto,43,0,43,0,0,43,True,648.643,648.643
03302,302,AGU.CLA KM.146.1-ALCAZAR DE SAN JUAN,"Aguja km 146,1 a Alcázar de San Juan",Ibérico,"2,0 km",False,mercancias,2,2,0,0,0,2,True,1.933,1.933
03304,304,ALFAFAR-BENETUSS-BIF.CLAS.V.FS.LU,"Alfafar-Benetússer a València-Font de Sant Luis-aguja km 1,3",Ibérico,"4,8 km",False,mixto,3,0,3,0,0,3,True,5.117,5.117
03306,306,"S. VICENTE DE RASPEIG-S. VICENTE RASP. AGJ KM. 448,7","San Vicente de Raspeig a San Vicente de Raspeig-aguja km 448,7",Ibérico,"2,3 km",True,viajeros,2,0,0,2,0,0,False,2.28,0.0
03310,310,ARANJUEZ-VALENCIA SANT ISIDRE,Aranjuez a Valencia-Fuente de San Luis,Ibérico,"353,9 km",False,mixto,11,0,10,0,1,10,True,358.709,353.694
03312,312,CASTILLEJO-AÑOVER-ALGODOR,Castillejo-Añover a Algodor,Ibérico,"11,4 km",False,mixto,1,0,1,0,0,1,True,11.623,11.623
03314,314,XIRIVELLA L'ALTER-VALENCIA-SANT ISIDRE,Chirivella-El Alter a Valencia-San Isidro,Ibérico,"1,9 km",False,viajeros,2,0,0,1,1,0,False,4.842,0.0
03316,316,PINTO-SAN MARTIN DE LA VEGA,Pinto a San Martín de la Vega,Ibérico,"15,4 km",True,viajeros,1,0,0,1,0,0,False,15.318,0.0
03318,318,"CAMBIADOR ALBACETE - ALBACETE-AGUJA KM. 279,4","Cambiador Albacete a Albacete-aguja km 279,4",Ibérico,"0,3 km",False,viajeros,1,0,0,1,0,0,False,0.285,0.0
03320,320,"CHINCHILLA MONTEAR.AG.KM.298,4-CARTAGENA","Chinchilla de Montearagón-aguja km 298,4 a Murcia del Carmen",Ibérico,"146,2 km",False,mixto,19,0,19,0,0,19,True,399.15,399.15
03322,322,MURCIA CARGAS-AGUILAS,Águilas a Murcia-Cargas,Ibérico,"111,6 km",False,mixto,5,0,5,0,0,5,True,112.104,112.104
03324,324,"CARTAGENA-AGUJA KM.0,8","Aguja km 0,8 a Cartagena",Ibérico,"0,6 km",False,mercancias,1,1,0,0,0,1,True,1.379,1.379
03326,326,AGUJA E.KM.523.2-ESCOMBRERAS,"Aguja km 523,2 a Dársena de Escombreras",Ibérico,"11,4 km",False,mercancias,4,2,0,0,2,2,True,14.629,10.534
03330,330,LA ENCINA-ALACANT-TERMINAL,La Encina a Alicante-Terminal,Ibérico,"78,3 km",False,mixto,9,0,9,0,0,9,True,137.22,137.22
03332,332,CAUDETE-BIF. ALACANT,La Encina-Aguja km 3 a Caudete,Ibérico,"5,9 km",False,mixto,1,0,1,0,0,1,True,5.916,5.916
03334,334,SANT GABRIEL-ALACANT-BENALUA,San Gabriel a Alicante-Benalúa,Ibérico,"1,7 km",True,mercancias,1,1,0,0,0,1,True,1.735,1.735
03336,336,EL REGUERON-ALACANT-TERMINAL,"El Reguerón-aguja km 525,3 a Alicante-Terminal",Ibérico,"73,7 km",False,mixto,8,0,8,0,0,8,True,79.101,79.101
03338,338,CAMBIADOR VALENCIA - VALENCIA-JOAQUIM SOROLLA,Cambiador Valencia a Valencia-Joaquín Sorolla,Ibérico,"0,5 km",False,viajeros,1,0,0,1,0,0,False,0.586,0.0
03340,340,"BIF. VALLADA-XATIVA-AG. KM. 47,0",Mogente a Bifurcación Mogente,Ibérico,"0,5 km",False,mercancias,4,2,1,1,0,3,True,36.609,17.543
03342,342,XATIVA-ALCOI,Alcoy a Játiva,Ibérico,"63,7 km",False,viajeros,2,0,0,2,0,0,False,63.905,0.0
03344,344,SILLA-GANDIA,Gandía a Silla,Ibérico,"50,8 km",False,mixto,3,0,2,1,0,2,True,51.097,49.598
03346,346,GANDIA-MERCADER.-GANDIA PORT,Gandía-Puerto a Gandía-Mercancías,Ibérico,"2,9 km",False,viajeros,2,0,0,1,1,0,False,3.099,0.0
03348,348,SILLA-FORD,Ford a Silla,Ibérico,"4,4 km",False,mercancias,3,3,0,0,0,3,True,9.78,9.78
03350,350,BIF. BENALUA - BIF. ALACANT,Bifurcación Benalúa a Bifurcación Alicante,Ibérico,"2,2 km",False,mixto,1,0,1,0,0,1,True,2.223,2.223
03352,352,"EL REGUERON AG KM 522,1-CARTAGENA","El Reguerón-aguja km 522,1 a Cartagena",Ibérico,58 km,False,mixto,2,0,2,0,0,2,True,58.138,58.138
03600,600,VALENCIA-NORD-S.VICENÇ CALDERS,Valencia-Estación del Norte a Cambiador de La Boella,"Ibérico, mixto","254,1 km",False,mixto,34,0,32,2,0,32,True,360.158,355.99
03602,602,"FSL-AG KM 2,3-VALENC-PTO NORTE","València-Font de Sant Luis-aguja km 2,3 a Valencia-Puerto Norte",Ibérico,"0,9 km",False,mercancias,4,4,0,0,0,4,True,1.16,1.16
03604,604,LES PALMES-CASTELLO-PORT,Les Palmes a Puerto de Castellón,Ibérico,"6,8 km",False,mercancias,1,1,0,0,0,1,True,7.039,7.039
03606,606,"VFSL-AG.KM.1,3-VALENCIA-PTO SUR","València-Font de Sant Luis-aguja km 1,3 a Valencia-Puerto Sur",Ibérico,"2,3 km",False,mercancias,5,5,0,0,0,5,True,3.965,3.965
03608,608,"CLASIF. V.F.S.L.-V-FSL-AG KM 1,6","Clasificación-València-Font de Sant Luis a València-Font de Sant Luis-aguja km 1,6",Ibérico,"0,8 km",False,mercancias,1,1,0,0,0,1,True,1.046,1.046
03614,614,VALENCIA-JOAQUIM SOROLLA - VALENCIA-AGUJA ESTACION A.V.,València-aguja estación Alta Velocidad a Valencia-Joaquín Sorolla,Ibérico,"0,7 km",False,mixto,1,0,1,0,0,1,True,0.567,0.567
03620,620,TORTOSA-L ALDEA-AMPOSTA,Tortosa a L'Aldea-Amposta-Tortosa,Ibérico,"13,1 km",False,mixto,1,0,1,0,0,1,True,11.872,11.872
03632,632,BIF. LA FEDERAT-BIF. VILA-SECA,Bifurcación La Feredat a bifurcación Vilaseca,Ibérico,"1,5 km",False,mixto,1,0,1,0,0,1,True,1.396,1.396
03900,900,MADRID AT. CERCA-MADRID-CHAMARTIN,Madrid-Chamartín-Clara Campoamor a Madrid-Atocha Cercanías,Ibérico,"7,8 km",False,mixto,1,0,1,0,0,1,True,8.012,8.012
03916,916,MADRID-S. CATAL.-DELICIAS,Delicias a Madrid-Santa Catalina,Ibérico,"4,1 km",False,mixto,3,0,3,0,0,3,True,4.713,4.713
03934,934,BIF. REBOLLEDO-MADRID-ABROÑIGAL,Madrid-Abroñigal a Bifurcación Rebolledo,Ibérico,"3,2 km",False,mixto,2,0,2,0,0,2,True,3.239,3.239
03936,936,VILLAVERDE BAJO-SAN CRISTOBAL INDUSTRIAL,San Cristóbal Industrial a Villaverde Bajo,Ibérico,"3,0 km",False,mixto,2,0,2,0,0,2,True,3.153,3.153
03946,946,VILLAVERDE BAJO-MADRID-S. CATAL.,Madrid-Santa Catalina a Villaverde Bajo,Ibérico,"1,9 km",False,mixto,1,0,1,0,0,1,True,1.998,1.998
03950,950,MADRID AT. CERCA-AGUJA KM. 1.4,"Madrid-Puerta de Atocha-Almudena Grandes a Aguja km 1,4",Ibérico,"1,4 km",True,,1,0,0,0,1,0,False,1.213,0.0
04400,400,ALCAZAR SAN JUAN-CADIZ,Alcázar de San Juan a Cádiz,Ibérico,"576,9 km",False,mixto,37,0,37,0,0,37,True,598.461,598.461
04402,402,"BIF.ESPELUY-AGUJA KM. 340,1-JAEN","Espeluy-aguja km 340,1 a Jaén",Ibérico,"32,8 km",False,mixto,3,0,3,0,0,3,True,32.247,32.247
04404,404,"BIF. ESPELUY-AGUJA KM. 338,8-BIF. ESPELUY-AGUJA KM. 150,5","Espeluy-aguja km 338,8 a Espeluy-aguja km 150,5",Ibérico,"0,9 km",False,mixto,1,0,1,0,0,1,True,0.998,0.998
04406,406,LAS ALETAS-UNIVERSIDAD DE CADIZ,Las Aletas a Universidad de Cádiz (apeadero),Ibérico,"2,4 km",False,mercancias,1,1,0,0,0,1,True,2.385,2.385
04408,408,"ALCOLEA AG KM 431,9-CAMBIADOR ALCOLEA","Alcolea-aguja km 431,9 a Cambiador Alcolea",Ibérico,"0,4 km",False,mercancias,1,1,0,0,0,1,True,0.43,0.43
04410,410,LINARES BAEZA-ALMERIA,Linares-Baeza a Almería,Ibérico,"240,8 km",False,mercancias,10,4,6,0,0,10,True,240.479,240.479
04412,412,HUENEJA-DOLAR-MINAS DEL MARQUESADO,Minas del Marquesado a Huéneja-Dólar,Ibérico,"14,4 km",True,,1,0,0,0,1,0,False,14.328,0.0
04414,414,BIF.ALMERIA-BIF.GRANADA,Bifurcación Almería a Bifurcación Granada,Ibérico,"0,7 km",False,mixto,1,0,1,0,0,1,True,0.871,0.871
04416,416,MOREDA-GRANADA,Moreda a Granada,"Ibérico, Mixto","56,7 km",False,mercancias,6,3,3,0,0,6,True,63.259,63.259
04418,418,"A-S ANA AGJ. KM. 48,3-A-S ANA AGJ. KM. 50,4","Santa Ana-aguja km 50,4 a Santa Ana-aguja km 48,3",Ibérico,"2,3 km",False,mixto,2,0,2,0,0,2,True,2.397,2.397
04420,420,BIF. MARAVILLAS-ALGECIRAS,Bifurcación Las Maravillas a Algeciras,Ibérico,"179,6 km",False,mercancias,7,1,5,0,1,6,True,183.304,179.49
04422,422,BIF. UTRERA-FUENTE DE PIEDRA,Bifurcación Utrera a Fuente de Piedra,Ibérico,"113,4 km",False,mixto,6,0,5,0,1,5,True,122.721,111.653
