codigo_linea,numero_rfig,nombre,wiki_linea,wiki_ancho,wiki_longitud,wiki_historica,uso_dominante,n_tramos,n_solo_carga,n_mixto,n_viajeros,n_sin_clasificar,n_aptos_mercancias,apto_mercancias,longitud_km,km_mercancias
01000,000,LÍNEAS Y TRAMOS AJENOS AL CUADRO DE VELOCIDADES MÁXIMAS,,,,,,67,0,0,0,67,0,False,315.736,0.0
01100,100,MADRID-CHAMARTIN-HENDAYA,Hendaya a Madrid-Chamartín-Clara Campoamor,Ibérico,"640,9 km",False,mercancias,59,2,57,0,0,59,True,727.848,727.848
01102,102,MADRID-CHAMARTIN-BIF. ARANDA,Bifurcación Aranda a Madrid-Chamartín-Clara Campoamor,Ibérico,"280,6 km",False,mercancias,15,13,2,0,0,15,True,282.637,282.637
01104,104,ALCOB.- S.S.REYE-UNIV.CANTOBLANCO,Alcobendas-San Sebastián de los Reyes a Universidad de Cantoblanco,Ibérico,"6,9 km",False,mixto,1,0,1,0,0,1,True,6.801,6.801
01106,106,IRUN-HENDAYA,Hendaya a Irún,Ibérico,"2,2 km",False,mercancias,4,4,0,0,0,4,True,2.888,2.888
01108,108,LA CARRERA-VALLADOLID-C.G.,Complejo Ferroviario de Mercancías de Valladolid-aguja a La Carrera,Ibérico,"2,0 km",False,,3,0,0,0,3,0,False,7.391,0.0
01110,110,VILLALBA GUADARR-SEGOVIA,Segovia a Villalba de Guadarrama,Ibérico,"62,7 km",False,mixto,3,0,3,0,0,3,True,62.744,62.744
01112,112,VALLADOLID ARGALES-BIF. HENDAYA,Valladolid-Campo Grande a Valladolid-Argales,Ibérico,"4,3 km",False,,2,0,0,0,2,0,False,6.796,0.0
01116,116,CERCEDILLA-LOS COTOS,Los Cotos a Cercedilla,Métrico,"18,1 km",False,viajeros,2,0,0,2,0,0,False,18.211,0.0
01118,118,"IRUN-P. K. 641,181 (FRONTERA)",,,,,mercancias,1,1,0,0,0,1,True,1.731,1.731
01120,120,MEDINA DEL CAMPO-VILAR  FORMOSO,Villar Formoso a Medina del Campo,Ibérico,"201,0 km",False,mercancias,14,9,5,0,0,14,True,226.85,226.85
01122,122,AVILA-SALAMANCA,Salamanca a Ávila,Ibérico,"111,1 km",False,mixto,3,0,3,0,0,3,True,110.908,110.908
