codigo_linea,numero_rfig,nombre,n_estaciones,n_municipios,municipios,provincias
05502,502,"VALENCIA ALCANTARA-KM. 428,5 (FRONTERA)",4,3,Cáceres > San Vicente de Alcántara > Valencia de Alcántara,Cáceres · Badajoz
05504,504,ALGODOR-VILLALUENGA-YUNC,4,3,Villaluenga de la Sagra > Villaseca de la Sagra > Aranjuez,Toledo · Madrid
05506,506,AGUJA KM 5.7-ASLAND,2,2,Villaseca de la Sagra > Villaluenga de la Sagra,Toledo
05510,510,CACERES-ALJUCEN,7,3,Mérida > Carmonita > Cáceres,Badajoz · Cáceres
05518,518,BIF. CASA DE LA TORRE-BIF. ROMANOS,4,1,Cáceres,Cáceres
05530,530,MONFRAGÜE-PLASENCIA,4,2,Plasencia > Malpartida de Plasencia,Cáceres
05532,532,"MONFRAGUE-AG. KM. 4,4-MONFRAGUE-AG. KM. 255,4",2,1,Malpartida de Plasencia,Cáceres
05534,534,BIF. EL CHAPARRAL-ARROYO DE LA HERRERA,2,1,Malpartida de Plasencia,Cáceres
05536,536,BIF. SAN ESTEBAN-BIF. EL CHAPARRAL,2,2,Plasencia > Malpartida de Plasencia,Cáceres
05538,538,PLASENCIA-BIF. SAN ESTEBAN,2,1,Plasencia,Cáceres
05920,920,MOSTOLES-EL SOTO-PARLA,8,5,Madrid > Getafe > Móstoles > Pinto > Parla,Madrid
05922,922,BIF. PARLA-PARLA INDUSTRIAL,2,1,Parla,Madrid
06130,130,VENTA DE BAÑOS-GIJON-CERCANIAS,36,18,Venta de Baños > Palencia > Villada > Sahagún > Villanueva de las Manzanas > Onzonilla > León > San Andrés del Rabanedo > Cuadros > La Robla > Villamanín > Lena > Mieres > Oviedo > Ribera de Arriba > Siero > Llanera > Gijón,Palencia · León · Asturias
06132,132,ABLAÑA-BIF. TUD.VEGUIN,3,2,Mieres > Oviedo,Asturias
06134,134,TORNEROS-LEON,5,2,Onzonilla > León,León
06138,138,BIF.GALICIA-BIF. ASTURIAS,2,2,San Andrés del Rabanedo > León,León
0613G,13G,BIF.LEON CLAF.-LEON CLASIFICAC.,2,1,León,León
06140,140,BIF. TUD.VEGUIN-EL ENTREGO,5,2,Oviedo > San Martín del Rey Aurelio,Asturias
06142,142,SOTO DE REY-BIF.OLLONIEGO,2,2,Ribera de Arriba > Oviedo,Asturias
06144,144,VILLABONA DE A.-S.JUAN DE NIEVA,5,4,Llanera > Corvera de Asturias > Avilés > Castrillón,Asturias
06146,146,BIF.PEÑA RUBIA-BIF.VIELLA,2,1,Oviedo,Asturias
06148,148,NUBLEDO-TRASONA,3,1,Corvera de Asturias,Asturias
06150,150,SERIN-ABOÑO,4,2,Gijón > Carreño,Asturias
06152,152,GIJON-PUERTO-VERIÑA,2,1,Gijón,Asturias
06154,154,TUDELA VEGUIN-LUGO LLANERA,4,3,Oviedo > Siero > Llanera,Asturias
06160,160,PALENCIA-SANTANDER,13,12,Santander > Camargo > El Astillero > Piélagos > Torrelavega > Los Corrales de Buelna > Bárcena de Pie de Concha > Reinosa > Valdeolea > Pomar de Valdivia > Osorno la Mayor > Palencia,Cantabria · Palencia
06162,162,SIERRAPANDO-SOLVAY FACTORIA,2,2,Torrelavega > Polanco,Cantabria
06182,182,CAMBIADOR CLASIFICACION - BIF. CLASIFICACION,2,1,León,León
06184,184,CAMBIADOR VILECHA - BIF. RIO BERNESGA,2,1,Onzonilla,León
06800,800,LEON-A CORUÑA,24,15,Santovenia de la Valdoncina > León > San Andrés del Rabanedo > Astorga > Torre del Bierzo > Ponferrada > Toral de los Vados > Carucedo > A Rúa > Monforte de Lemos > Sarria > Lugo > Guitiriz > Betanzos > A Coruña,León · Ourense · Lugo · A Coruña
06802,802,TORAL DE LOS VAD-VILLAFRANCA BIERZO,3,2,Toral de los Vados > Villafranca del Bierzo,León
06804,804,BETANZOS-INFESTA-FERROL,2,2,Ferrol > Betanzos,A Coruña
06806,806,LA BAÑEZA-ASTORGA,2,2,Astorga > La Bañeza,León
06810,810,MONFORTE  LEMOS-VIGO,9,7,Tui > Vigo > Redondela > Ribadavia > Ourense > A Peroxa > Monforte de Lemos,Pontevedra · Ourense · Lugo
06812,812,CHAPELA-AG.KM.171-VIGO-GUIXAR,2,2,Redondela > Vigo,Pontevedra
06814,814,GUILLAREI-VALENCA DO MINHO,5,2,Tui > Tomiño,Pontevedra
06816,816,"GUILLAREI AGJ. KM. 141,6-GUILLAREI AGJ. KM. 0,9",2,1,Tui,Pontevedra
06818,818,VILAGARCIA DE AROUSA - BIF. ANGUEIRA,3,2,Vilagarcía de Arousa > Padrón,Pontevedra · A Coruña
06820,820,MEDINA DEL CAMPO-ZAMORA,4,3,Medina del Campo > Toro > Zamora,Valladolid · Zamora
06822,822,ZAMORA-A CORUÑA,23,14,A Coruña > Cerceda > Santiago de Compostela > Vedra > Lalín > O Irixo > Ourense > Taboadela > Laza > Lubián > Pedralba de la Pradería > Puebla de Sanabria > Riofrío de Aliste > Zamora,A Coruña · Pontevedra · Ourense · Zamora
06824,824,REDONDELA-SANTIAGO DE COMPOSTELA,12,8,Santiago de Compostela > Padrón > Dodro > Vilagarcía de Arousa > Barro > Pontevedra > Soutomaior > Redondela,A Coruña · Pontevedra
06826,826,BIF. CERCEDA-CENTRAL TÉRMICA DE MEIRAMA,7,3,Cerceda > Ordes > Santiago de Compostela,A Coruña
06828,828,FAXIL-PORTAS,3,3,Portas > Barro > Pontevedra,Pontevedra
06830,830,BIF UXES-BIF SAN CRISTOBAL,2,1,A Coruña,A Coruña
06832,832,"BIF. SAN DIEGO-AGUJA KM. 545,4",2,1,A Coruña,A Coruña
06834,834,BIF. EL BURGO-A CORUÑA SAN DIEGO,3,1,A Coruña,A Coruña
06836,836,BIF. LEON-BIF. RIO BERNESGA,3,2,Onzonilla > Santovenia de la Valdoncina,León
06838,838,BIF. QUINTANA-BIF. TORNEROS,3,2,Santovenia de la Valdoncina > León,León
06840,840,"CER-M. AG.KM.000,7-MEIRAMA-PICARDEL",2,1,Cerceda,A Coruña
06842,842,"BIF. A GRANDEIRA AG. KM. 376,1 - BIF. RIO SAR",2,1,Santiago de Compostela,A Coruña
06848,848,REDONDELA AV - BIF. REDONDELA,2,1,Redondela,Pontevedra
06850,850,VIGO URZAIZ - BIF. ARCADE,3,3,Soutomaior > Redondela > Vigo,Pontevedra
06884,884,CAMB. ZAMORA - BIF. EL BOLON,2,1,Zamora,Zamora
06888,888,"CAMBIADOR PEDRALBA - PEDRALBA AG KM 112,4",2,1,Pedralba de la Pradería,Zamora
06894,894,"CAMBIADOR DE TABOADELA - TABOADELA AG. KM. 447,1",2,1,Taboadela,Ourense
08360,360,CARTAGENA PLAZA BASTARRECHE-LOS NIETOS,2,1,Cartagena,Murcia
08740,740,FERROL-PRAVIA,12,12,Ferrol > Narón > San Sadurniño > Moeche > Ortigueira > Mañón > Xove > Ribadeo > Castropol > Navia > Cudillero > Pravia,A Coruña · Lugo · Asturias
08750,750,PRAVIA-GIJON-SANZ CRESPO,8,5,Pravia > Avilés > Corvera de Asturias > Carreño > Gijón,Asturias
08752,752,GIJON-SANZ CRESPO-LAVIANA,11,4,Gijón > Siero > Langreo > Laviana,Asturias
08754,754,SOTIELLO-PUERTO EL MUSEL,3,1,Gijón,Asturias
08756,756,SOTIELLO-ABOÑO APD,4,2,Carreño > Gijón,Asturias
08758,758,LA MARUCA MERCANCIAS-PUERTO AVILES,2,1,Avilés,Asturias
08760,760,TRUBIA-OVIEDO,3,1,Oviedo,Asturias
08762,762,SOTO UDRION-SAN ESTEBAN DE PRAVIA,4,3,Oviedo > Pravia > Muros de Nalón,Asturias
08764,764,TRUBIA-COLLANZO,8,4,Oviedo > Ribera de Arriba > Mieres > Aller,Asturias
08770,770,OVIEDO-VALDECILLA LA MARGA,17,12,Santander > Torrelavega > Reocín > Cabezón de la Sal > Val de San Vicente > Llanes > Ribadesella > Parres > Piloña > Nava > Siero > Oviedo,Cantabria · Asturias
08772,772,OREJO - LIERGANES,3,3,Marina de Cudeyo > Medio Cudeyo > Liérganes,Cantabria
08774,774,MALIAÑO VIDRIERA - PUERTO RAOS,2,2,Camargo > Santander,Cantabria
08776,776,LLOVIO - RIBADESELLA PUERTO,2,1,Ribadesella,Asturias
08778,778,LLOVIO-RIBADESELLA PUERTO,2,1,Ribadesella,Asturias
08780,780,SANTANDER-BILBAO LA CONCORDIA,12,9,Santander > Camargo > El Astillero > Marina de Cudeyo > Ampuero > Karrantza Harana > Zalla > Alonsotegi > Bilbao,Cantabria · Bizkaia
08782,782,BASURTO HOSPITAL-ARIZ,2,2,Bilbao > Basauri,Bizkaia
08784,784,IRAUREGUI-LUTXANA-BARAKALDO,2,2,Alonsotegi > Barakaldo,Bizkaia
08786,786,OREJO-LIERGANES,3,3,Marina de Cudeyo > Medio Cudeyo > Liérganes,Cantabria
08788,788,MALIAÑO-PUERTO DE RAOS,2,2,Santander > Camargo,Cantabria
08790,790,ASUNCION UNIVERSIDAD-ARANGUREN,12,10,León > Garrafe de Torío > Matallana de Torío > Boñar > Cistierna > Guardo > Valdeolea > Arija > Balmaseda > Zalla,León · Palencia · Cantabria · Burgos · Bizkaia
08792,792,MATALLANA-LA ROBLA,2,2,Matallana de Torío > La Robla,León
08794,794,GUARDO-TERMICA VELILLA,2,2,Guardo > Velilla del Río Carrión,Palencia
11072,072,CAMBIADOR MADRID-CHAMARTÍN-CTT FUENCARRAL AV,3,1,Madrid,Madrid
11074,074,"OLMEDO-AV.-AG.KM 133,9-CAMBIADOR MEDINA DEL CAMPO",2,2,Olmedo > Medina del Campo,Valladolid
11076,076,BIF. CAMBIADOR VALDESTILLAS-CAMBIADOR VALDESTILLAS,2,1,Valdestillas,Valladolid
11078,078,VALLADOLID CAMPO-GRANDE-CAMBIADOR VALLADOLID C.-GRANDE,2,1,Valladolid,Valladolid
11080,080,MADRID-CHAMARTÍN-VALLADOLID CAMPO-GRANDE,16,13,Madrid > Rascafría > Segovia > Fuente de Santa Cruz > Olmedo > Valdestillas > Valladolid > Santovenia de Pisuerga > Dueñas > Venta de Baños > Soto de Cerrato > Revilla Vallejera > Burgos,Madrid · Segovia · Valladolid · Palencia · Burgos
11084,084,BIF. VENTA DE BAÑOS - LEON,12,8,Venta de Baños > Villamuriel de Cerrato > Palencia > Valle del Retortillo > Villada > Bercianos del Real Camino > Onzonilla > León,Palencia · León
11114,114,"BIF. CANAL DUERO-VALLADOLID FTE AMARGA KM 192,7",3,2,Santovenia de Pisuerga > Valladolid,Valladolid
11136,136,BURGOS-ROSA MANZANO  - CAMB. BURGOS,2,1,Burgos,Burgos
11158,158,BIF. CERRATO - CAMBIADOR VILLAMURIEL,2,1,Villamuriel de Cerrato,Palencia
11170,170,BIF. SOTO - BIF. CERRATO,2,2,Villamuriel de Cerrato > Soto de Cerrato,Palencia
11180,180,BIF. ESTADIO MUNICIPAL - CAMBIADOR CLASIFICACION,2,1,León,León
11186,186,BIF. CAMB. VILECHA - CAMBIADOR VILECHA,2,1,Onzonilla,León
11984,984,BIF. PAJARES - POLA DE LENA,5,3,Lena > Villamanín > Cuadros,Asturias · León
12050,050,MADRID-PUERTA DE ATOCHA-BARCELONA-SANTS,37,27,Madrid > Los Santos de la Humosa > Yebes > Arcos de Jalón > Alconchel de Ariza > Calatayud > Plasencia de Jalón > Zaragoza > La Almolda > Alcarràs > Lleida > Artesa de Lleida > Les Borges Blanques > Tarrés > Alcover > La Secuita > La Pobla de Montornès > L'Arboç > L'Hospitalet de Llobregat > Barcelona > Mollet del Vallès > Montornès del Vallès > Sant Feliu de Buixalleu > Fornells de la Selva > Girona > Vilafant > Llers,Madrid · Guadalajara · Soria · Zaragoza · Lleida · Tarragona · Barcelona · Girona
12052,052,BIF. CAMBIADOR PLASENCIA-CAMBIADOR PLASENCIA,2,1,Plasencia de Jalón,Zaragoza
12054,054,BIF MONCASI-BIF CANAL IMPERIAL,6,1,Zaragoza,Zaragoza
12056,056,BIF LES TORRES-BIF ARTESA DE LLEIDA,4,2,Artesa de Lleida > Lleida,Lleida
12058,058,BIF CAMBIADOR LLEIDA-CAMBIADOR LLEIDA,2,1,Lleida,Lleida
12060,060,BIF. CAMB. ZARAGOZA-DELICIAS-CAMB. ZARAGOZA-DELICIAS,2,1,Zaragoza,Zaragoza
12062,062,BIF. CAMBIADOR PUIGVER-PUIGVRD-CAMBIADOR DE ANCHO,2,2,Artesa de Lleida > Puigverd de Lleida,Lleida
12064,064,BIF. CAMBIADOR RODA-RODA-CAMB. DE ANCHO,2,2,Roda de Berà > La Pobla de Montornès,Tarragona
12066,066,CAN TUNIS-AV-BIF. C. TUNIS-AV,2,1,L'Hospitalet de Llobregat,Barcelona
12068,068,"VALLECAS AV-AG. KM. 12,300-LOS GAVILANES-AG. KM. 13,400",2,2,Madrid > Getafe,Madrid
12070,070,BIF HUESCA-HUESCA,7,5,Zaragoza > Gurrea de Gállego > Tardienta > Monflorite-Lascasas > Huesca,Zaragoza · Huesca
12280,280,BIF. NUDO MOLLET - BIF. MOLLET ,2,2,Santa Perpètua de Mogoda > Mollet del Vallès,Barcelona
12292,292,"AG. KM. 641,5 - MONTMELO-AG.KM.127,4",2,2,Montmeló > Mollet del Vallès,Barcelona
12296,296,"MONTMELO-AG.KM.129,0 - AGUJA KM. 645,0 ",2,2,Montmeló > Montornès del Vallès,Barcelona
12298,298,BIF. GIRONA-MERCADERIES - GIRONA-MERCADERIES,3,2,Girona > Fornells de la Selva,Girona
12640,640,CAMBIADOR DE LA BOELLA-CAMP DE TARRAGONA,3,3,Reus > Perafort > La Secuita,Tarragona
13024,024,"BIF. BLANCALES - YELES AGUJA KM.34,397",2,1,Torrejón de Velasco,Madrid
13040,040,BIF. TORREJÓN DE VELASCO - VALENCIA-JOAQUIM SOROLLA,15,9,València > Requena > Minglanilla > Gabaldón > Cuenca > Santa Cruz de la Zarza > Valdemoro > Torrejón de Velasco > Madrid,València · Cuenca · Toledo · Madrid
13042,042,BIF. ALBACETE - ALBACETE,12,10,Gabaldón > Tarazona de la Mancha > Albacete > Chinchilla de Monte-Aragón > Bonete > Almansa > Villena > Novelda > Monforte del Cid > Alacant,Cuenca · Albacete · Alacant
13044,044,BIF. JOAQUIN SOROLLA-UIC - BIF. JESUS,2,1,València,València
13046,046,BIF. MURCIA - BENIEL,7,7,Monforte del Cid > Novelda > Elx > Callosa de Segura > Orihuela > Beniel > Murcia,Alacant · Murcia
13048,048,BIF. VINALOPO - MONFORTE DEL CID A.V.,2,1,Monforte del Cid,Alacant
13308,308,ALBACETE - CAMBIADOR ALBACETE,2,1,Albacete,Albacete
13328,328,"VALENCIA-A.V.-AGUJA KM. 396,7 - CAMBIADOR VALENCIA",2,1,València,València
13354,354,"EL REGUERON AG KM 522,1-MURCIA DEL CARMEN",4,1,Murcia,Murcia
14010,010,PTA. DE ATOCHA-SEVILLA-S. JUSTA,22,17,Sevilla > La Rinconada > Peñaflor > Almodóvar del Río > Córdoba > Montoro > Conquista > Puertollano > Villamayor de Calatrava > Ciudad Real > Malagón > Los Yébenes > Alameda de la Sagra > Yeles > Torrejón de Velasco > Getafe > Madrid,Sevilla · Córdoba · Ciudad Real · Toledo · Madrid
14012,012,CAMBIADOR ATOCHA-PTA. DE ATOCHA,2,1,Madrid,Madrid
14014,014,CORDOBA-CENTRAL-CAMBIADOR CORD.,4,2,Antequera > Córdoba,Málaga · Córdoba
14016,016,MAJARABIQUE-CAMBIADOR MAJ.,2,1,La Rinconada,Sevilla
14018,018,BIF. CERRO NEGRO/STA. CATALINA-CTT CERRO NEGRO AV,2,1,Madrid,Madrid
14020,020,LA SAGRA-TOLEDO,2,2,Alameda de la Sagra > Toledo,Toledo
14022,022,BIF CAMBIADOR ALCOLEA-CAMBIADOR ALCOLEA,2,1,Córdoba,Córdoba
14030,030,BIF. MALAGA-A.V.-MARIA ZAMBRANO,10,8,Almodóvar del Río > Écija > La Carlota > Estepa > Puente Genil > Humilladero > Antequera > Málaga,Córdoba · Sevilla · Málaga
14032,032,ANTEQUERA-SANTA ANA-CAMBIADOR ANTEQUERA,2,1,Antequera,Málaga
14036,036,ANTEQUERA-SANTA ANA-GRANADA,10,5,Granada > Íllora > Loja > Antequera > Utrera,Granada · Málaga · Sevilla
15026,026,BIF. SAN ESTEBAN-BIF. CASA DE LA TORRE,16,8,Plasencia > Malpartida de Plasencia > Cáceres > Carmonita > Mérida > La Garrovilla > Montijo > Badajoz,Cáceres · Badajoz
15626,626,"CACERES AG. KM. 82,2-BIF. PEÑAS BLANCAS",4,3,Cáceres > Carmonita > Mérida,Cáceres · Badajoz
15926,926,BIF. LA ISLA-BIF. SAN NICOLAS,4,3,La Garrovilla > Montijo > Badajoz,Badajoz
16082,082,"BIF. COTO DA TORRE - BIF. A GRANDEIRA AG. KM. 85,0",4,4,Ourense > O Irixo > Vedra > Santiago de Compostela,Ourense · A Coruña
16190,190,MEDINA DEL CAMPO AV - CAMB. MEDINA DEL CAMPO AV,2,1,Medina del Campo,Valladolid
16886,886,ZAMORA - CAMB. ZAMORA,2,1,Zamora,Zamora
16890,890,BIF. PEDRALBA - CAMBIADOR PEDRALBA,2,2,Puebla de Sanabria > Pedralba de la Pradería,Zamora
16892,892,"TABOADELA AV AG. KM. 446,1 - CAMBIADOR TABOADELA",2,1,Taboadela,Ourense
16982,982,"BIFURCACIÓN MEDINA - TABOADELA AG. KM. 234,0",17,10,Taboadela > A Mezquita > Puebla de Sanabria > Palacios de Sanabria > La Hiniesta > Zamora > Coreses > Toro > Medina del Campo > Olmedo,Ourense · Zamora · Valladolid
