codigo_linea,numero_rfig,orden,nombre_estacion,es_localidad,municipio,provincia,ccaa,geocode_match,dist_m,dep_id
01000,000,1,HUELVA PUERTO,True,Palos de la Frontera,Huelva,Andalucía,within,0.0,TN_RailwayNode_43022
01000,000,2,BIFURCACION TORRE ARENILLAS,False,Palos de la Frontera,Huelva,Andalucía,within,0.0,TN_RailwayNode_B4310
01000,000,3,ACCESO PUERTO DE HUELVA,False,Palos de la Frontera,Huelva,Andalucía,within,0.0,TN_RailwayNode_43030
01000,000,4,"HUELVA-MERCANCIAS AG. KM. 107,4",False,Huelva,Huelva,Andalucía,within,0.0,TN_RailwayNode_A4309
01000,000,5,HUELVA-MERCANCIAS,True,Huelva,Huelva,Andalucía,within,0.0,TN_RailwayNode_43023
01000,000,6,CADIZ,True,Cádiz,Cádiz,Andalucía,within,0.0,TN_RailwayNode_51405
01000,000,7,CADIZ-PUERTO,True,Cádiz,Cádiz,Andalucía,within,0.0,TN_RailwayNode_51411
01000,000,8,ALGECIRAS,True,Algeciras,Cádiz,Andalucía,within,0.0,TN_RailwayNode_55020
01000,000,9,ALGECIRAS-PUERTO (CGD),True,Algeciras,Cádiz,Andalucía,within,0.0,TN_RailwayNode_55021
01000,000,10,SAN ROQUE-LA LINEA,True,San Roque,Cádiz,Andalucía,within,0.0,TN_RailwayNode_55018
01000,000,11,MIRAFLORES LA LINEA,True,San Roque,Cádiz,Andalucía,within,0.0,TN_RailwayNode_55023
01000,000,12,FACT. SEAT,True,Sevilla,Sevilla,Andalucía,within,0.0,TN_RailwayNode_51007
01000,000,13,SEVILLA-SANTA JUSTA,True,Sevilla,Sevilla,Andalucía,within,0.0,TN_RailwayNode_51003
01000,000,14,SAN JERONIMO (CGD),True,Sevilla,Sevilla,Andalucía,within,0.0,TN_RailwayNode_50800
01000,000,15,SEVILLA-CTT,False,Sevilla,Sevilla,Andalucía,within,0.0,TN_RailwayNode_XX008
01000,000,16,LA NEGRILLA,True,Sevilla,Sevilla,Andalucía,within,0.0,TN_RailwayNode_51005
01000,000,17,BIF. S. BERNARDO,False,Sevilla,Sevilla,Andalucía,within,0.0,TN_RailwayNode_B5119
01000,000,18,BIF. SAN JERONIMO,False,Sevilla,Sevilla,Andalucía,within,0.0,TN_RailwayNode_B5073
01000,000,19,EXPO,True,La Rinconada,Sevilla,Andalucía,within,0.0,TN_RailwayNode_37804
01000,000,20,AZVISA CENTRO LOGÍSTICO,True,Alcalá de Guadaíra,Sevilla,Andalucía,within,0.0,TN_RailwayNode_XX018
01000,000,21,MAJARABIQUE,True,La Rinconada,Sevilla,Andalucía,within,0.0,TN_RailwayNode_37803
